title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
The Attachment Diaries,El apego,0,es,,"Argentina, 1970s. A desperate young woman goes to a clinic to have a clandestine abortion. As her pregnancy is already through the fourth month, the doctor refuses. Instead, she proposes to sell the baby to one of her clients and offers to provide shelter in her house until the child is born. Their disturbed personalities will become intertwined in a strange and dangerous relationship.",2.338,102,0,2021-10-07,3.0,4,"Drama, Mystery, Thriller, Horror",Spanish,Argentina,https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Attachment Diaries (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Diment, Valentin Javier', 'rank': 3, 'major': 'N'}]",2023-05-25T11:00:03+0000,295,"‘The Attachment Diaries’ Review: Love, Sick",None,None,The Attachment Diaries,None,None,None,By Jeannette Catsoulis,None
You Can Live Forever,You Can Live Forever,0,en,https://gooddeedentertainment.com/you-can-live-forever/,"When Jaime, a gay teenager, is sent to live in a community of Jehovah's Witnesses in small-town Quebec, she falls madly in love with a devout Witness girl. The two embark on an intense affair with consequences that will reshape the rest of their lives.",25.799,96,15055,2023-03-24,6.55,40,"Drama, Romance","English, French","Canada, United States of America",https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'You Can Live Forever (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Slutsky, Mark', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Watts, Sarah (Film Director)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': ""O'Driscoll, Anwen"", 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Laporte, June (Actor)', 'rank': 6, 'major': 'N'}]",2023-05-04T11:00:08+0000,294,‘You Can Live Forever’ Review: Do You Love Me Now?,None,None,You Can Live Forever,None,None,None,By Elisabeth Vincentelli,None
A Tourist’s Guide to Love,A Tourist's Guide to Love,0,en,https://www.netflix.com/title/81424906,"After an unexpected break up, a travel executive accepts an assignment to go undercover and learn about the tourist industry in Vietnam. Along the way, she finds adventure and romance with her Vietnamese expat tour guide and they decide to hijack the tour bus in order to explore life and love off the beaten path.",15.496,96,0,2023-04-21,6.303,170,"Romance, Comedy","English, Vietnamese",United States of America,https://www.nytimes.com/2023/04/21/movies/a-tourists-guide-to-love-review.html,Rachael Leigh Cook stars in this bland rom-com as a travel executive exploring Vietnam and getting over a breakup.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': ""A Tourist's Guide to Love (Movie)"", 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Tsuchida, Steven', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Cook, Rachael Leigh', 'rank': 4, 'major': 'N'}]",2023-04-21T07:03:25+0000,276,‘A Tourist’s Guide to Love’ Review: A Wearyingly Familiar Trip,None,None,A Tourist’s  Guide to Love,None,None,None,By Elisabeth Vincentelli,None
Other People’s Children,Les Enfants des autres,0,fr,https://www.wildbunch.biz/movie/other-peoples-children/,"Rachel loves her life, her students, her friends, her ex, her guitar lessons. When she falls in love with Ali, she grows close to his 4-year-old daughter, Leila. She tucks her in, looks after her, and loves her like a mother... which she isn’t. Not yet. Rachel is 40. The desire for a family of her own is growing stronger, and the clock is ticking. Is it too late?",7.909,104,84178,2022-09-21,6.812,194,"Drama, Comedy","French, English",France,https://www.nytimes.com/2023/04/20/movies/other-peoples-children-review.html,"A radiant Virginie Efira stars as a Parisian teacher who blissfully falls for a man and his 4-year-old daughter, complicating everyone’s lives.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Zlotowski, Rebecca', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': ""Other People's Children (Movie)"", 'rank': 3, 'major': 'N'}]",2023-04-20T15:35:13+0000,801,‘Other People’s Children’ Review: True Romance,Critic’s pick,None,Intoxicating Love With a Sobering Turn,None,None,None,By Manohla Dargis,None
One True Loves,One True Loves,0,en,,"Emma and Jesse are living the perfect life together, until Jesse disappears in a tragic helicopter crash on their first wedding anniversary. Four years later, Emma has found happiness again and is about to marry her best friend when Jesse resurfaces, turning her world upside down and leaving her torn between two great loves.",12.109,100,37820,2023-04-07,6.5,79,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America",https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,None,None,One True Loves,None,None,None,By Brandon Yu,None
The Lost Weekend: A Love Story,The Lost Weekend: A Love Story,0,en,https://thelostweekendmovie.com/,"May Pang lovingly recounts her life in rock & roll and the whirlwind 18 months spent as friend, lover, and confidante to one of the towering figures of popular culture, John Lennon, in this funny, touching, and vibrant portrait of first love.",17.731,95,77145,2023-04-13,6.0,2,Documentary,English,United States of America,https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",The New York Times,"[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Lost Weekend: A Love Story (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Pang, May', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Lennon, John', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Ono, Yoko', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Brandstein, Eve', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Kaufman, Richard S (Filmmaker)', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Samuels, Stuart (Filmmaker)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Pop and Rock Music', 'rank': 10, 'major': 'N'}]",2023-04-13T11:00:03+0000,327,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,None,None,The Lost Weekend:  A Love Story,None,None,None,By Glenn Kenny,None
A Thousand and One,A Thousand and One,0,en,https://www.focusfeatures.com/a-thousand-and-one/,"Struggling but unapologetically living on her own terms, Inez is moving from shelter to shelter in mid-1990s New York City. With her 6-year-old son Terry in foster care and unable to leave him again, she kidnaps him so they can build their life together. As the years go by, their family grows and Terry becomes a smart yet quiet teenager, but the secret that has defined their lives threatens to destroy the home they have so improbably built.",17.021,116,3395595,2023-03-31,6.872,90,"Drama, Crime","English, Spanish, Portuguese",United States of America,https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'A Thousand and One (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Rockwell, AV (Film Director)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Taylor, Teyana (1990- )', 'rank': 4, 'major': 'N'}]",2023-03-30T18:53:42+0000,971,‘A Thousand and One’ Review: A New York Love Story,Critic’s Pick,None,An Unbending Will Meets a Shifting City,None,None,None,By Manohla Dargis,None
Your Place or Mine,Your Place or Mine,0,en,https://www.netflix.com/title/81045831,"When best friends and total opposites Debbie and Peter swap homes for a week, they get a peek into each other's lives that could open the door to love.",14.812,109,0,2023-02-10,6.295,735,"Romance, Comedy",English,United States of America,https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Your Place or Mine (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Witherspoon, Reese', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Kutcher, Ashton', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'McKenna, Aline Brosh', 'rank': 5, 'major': 'N'}]",2023-02-10T00:00:05+0000,569,‘Your Place or Mine’ Review: Try Neither,None,None,They Have a Humdrum Kind of Love,None,None,None,By Amy Nicholson,None
Love in the Time of Fentanyl,Love in the Time of Fentanyl,0,en,,An intimate portrait of a community fighting to save lives and keep hope alive in a neighborhood ravaged by the overdose crisis.,2.463,85,0,2023-02-03,0.0,0,Documentary,English,"Canada, United States of America",https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",The New York Times,"[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Fentanyl', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Drug Abuse and Traffic', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Volunteers and Community Service', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Love in the Time of Fentanyl (Movie)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Askey, Colin', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Vancouver (British Columbia)', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Overdose Prevention Society', 'rank': 8, 'major': 'N'}]",2023-02-02T12:00:11+0000,306,"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver",None,None,Love in the Time Of Fentanyl,None,None,None,By Concepción de León,None
"Pamela, a Love Story","Pamela, A Love Story",0,en,https://www.netflix.com/title/81590934,"In her own words, through personal video and diaries, Pamela Anderson shares the story of her rise to fame, rocky romances and infamous sex tape scandal.",22.446,113,0,2023-01-30,7.0,209,Documentary,English,United States of America,https://www.nytimes.com/2023/01/31/movies/pamela-a-love-story-review.html,"This documentary from Ryan White rewinds, to powerful effect, on Pamela Anderson’s life and fame.",The New York Times,"[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Anderson, Pamela (1967- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'White, Ryan (Filmmaker)', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'Pamela, a Love Story (Movie)', 'rank': 4, 'major': 'N'}]",2023-01-31T12:00:05+0000,295,"‘Pamela, a Love Story’ Review: A Frank Look Back",None,None,"Pamela, a Love Story",None,None,None,By Glenn Kenny,None
In From the Side,In from the Side,0,en,http://www.infromthesidemovie.com,"Mark, a new and inexperienced rugby club member, finds himself drawn to Warren, a seasoned first team player. When a series of happenstances at an away fixture lead to a drunken encounter, Mark and Warren unwittingly embark on a romantic affair they struggle to hide from their partners and teammates.",15.329,134,52885,2022-09-16,6.8,62,"Drama, Romance",English,United Kingdom,https://www.nytimes.com/2023/01/19/movies/in-from-the-side-review.html,"In Matt Carter’s gay rugby film, sports and romance smash together like two players from opposing teams.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'In From the Side (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Carter, Matt (Filmmaker)', 'rank': 3, 'major': 'N'}]",2023-01-19T17:50:16+0000,281,‘In From the Side’ Review: Love and Rugby Play a Losing Game,None,None,In From the Side,None,None,None,By Kyle Turner,None
After Love,After Love,0,en,,"Set in the port town of Dover in the South-East of England, Mary Hussain suddenly finds herself a widow following the unexpected death of her husband. A day after the burial, she discovers he has a secret just twenty-one miles across the English Channel in Calais.",8.985,89,0,2021-06-04,7.164,125,Drama,"English, Arabic, French, Urdu",United Kingdom,https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'After Love (2020) (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Khan, Aleem', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Scanlan, Joanna (1961- )', 'rank': 4, 'major': 'N'}]",2023-01-19T12:00:06+0000,359,‘After Love’ Review: The Other Woman,Critic’s Pick,None,After Love,None,None,None,By Beatrice Loayza,None
Alcarràs,Alcarràs,3,ca,https://www.alcarras-film.com/,"In a small village in Catalonia, the peach farmers of the Solé family spend every summer together picking fruit from their orchard. But when plans arise to install solar panels and cut down trees, the members of this tight-knit group suddenly face eviction – and the loss of far more than their home.",8.706,115,3324521,2022-04-29,6.9,185,Drama,Catalan,Spain,https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Simon, Carla', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Alcarras (Movie)', 'rank': 3, 'major': 'N'}]",2023-01-05T12:00:03+0000,306,‘Alcarràs’ Review: Labor of Love,None,None,Alcarràs,None,None,None,By Devika Girish,None
Nelly & Nadine,Nelly et Mr. Arnaud,0,fr,,"Nelly leaves her lazy, unemployed husband to work for retired judge Mr Arnaud, forty years her senior, after he offers to clear her bills for her. While she types his memoirs the two develop a close friendship, but Arnaud becomes jealous when Nelly begins dating his good-looking young publisher.",7.05,106,0,1995-08-23,6.888,121,"Drama, Romance",French,"Germany, France, Italy",https://www.nytimes.com/2022/12/15/movies/nelly-and-nadine-review.html,A family archive provides intimate records of a love affair that began between two women imprisoned in the Ravensbrück concentration camp.,The New York Times,"[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Gertten, Magnus', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Nelly & Nadine (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Holocaust and the Nazi Era', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'World War II (1939-45)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Homosexuality and Bisexuality', 'rank': 8, 'major': 'N'}]",2022-12-15T12:00:04+0000,308,"‘Nelly & Nadine’ Review: An Unlikely Love, an Unlikely Record",None,None,Nelly &amp; Nadine,None,None,None,By Teo Bugbee,None
Lady Chatterley’s Lover,Lady Chatterley's Lover,0,en,https://www.netflix.com/title/81476441,Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.,30.833,126,0,2022-11-22,6.654,403,"Drama, Romance",English,"United Kingdom, United States of America",https://www.nytimes.com/2022/12/01/movies/lady-chatterleys-lover-review.html,The new Netflix adaptation of D.H. Lawrence’s once-controversial novel is both steamy and decorous.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': ""Lady Chatterley's Lover (Movie)"", 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Corrin, Emma (1995- )', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'De Clermont-Tonnerre, Laure', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Lawrence, D H', 'rank': 5, 'major': 'N'}]",2022-12-01T16:40:55+0000,768,‘Lady Chatterley’s Lover’ Review: When Connie Met Ollie,None,None,A Love Whose Name Is Often Spoken,None,None,None,By A.O. Scott,None
The Sound of Christmas,The Sound of Christmas,0,en,,A woman facing eviction just before Christmas who must navigate budding romantic feelings for a handsome billionaire when she takes a job nannying for his two children right before Christmas.,4.813,0,0,2022-11-24,8.0,4,"TV Movie, Drama",English,United States of America,https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,A young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Ne-Yo', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Sound of Christmas (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Mattison, Booker T', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'McNeill, Serayah', 'rank': 5, 'major': 'N'}]",2022-11-23T15:00:09+0000,277,‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,None,None,The Sound  Of Christmas,None,None,None,By Concepción de León,None
The Inspection,The Inspection,0,en,https://a24films.com/films/inspection,"Ellis French is a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life.",6.791,95,270613,2022-11-18,6.183,60,Drama,"Arabic, Spanish, English",United States of America,https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Inspection (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Bratton, Elegance', 'rank': 3, 'major': 'N'}]",2022-11-17T12:00:07+0000,836,"‘The Inspection’ Review: Boot Camp, a Love Story",critic’s pick,None,"A Few Good Men, Some With Secrets",None,None,None,By A.O. Scott,None
Bones and All,Bones and All,16000000,en,https://www.bonesandallfilm.net/,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",20.054,131,15234907,2022-11-18,7.072,1281,"Drama, Horror, Romance",English,"Italy, United States of America",https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,Luca Guadagnino’s latest stars Timothée Chalamet and Taylor Russell as young cannibals on the run.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Bones and All (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Guadagnino, Luca', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Chalamet, Timothee (1995- )', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Russell, Taylor (1994- )', 'rank': 5, 'major': 'N'}]",2022-11-17T12:00:06+0000,710,‘Bones and All’ Review: You Eat What You Are,None,None,"It’s Eat, Prey, Love on a Journey of Self-Discovery",None,None,None,By A.O. Scott,None
My Policeman,My Policeman,0,en,https://www.amazon.com/dp/B09Y8SHDPD,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",19.274,113,0,2022-10-20,7.7,652,"Drama, Romance",English,"United Kingdom, United States of America",https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'My Policeman (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Grandage, Michael', 'rank': 3, 'major': 'N'}]",2022-10-20T16:52:51+0000,303,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",None,None,My Policeman,None,None,None,By Teo Bugbee,None
About Fate,About Fate,0,en,,"Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",24.404,100,504843,2022-09-08,7.448,374,"Romance, Comedy",English,United States of America,https://www.nytimes.com/2022/09/08/movies/about-fate-review.html,"Thomas Mann’s beguiling performance drives this Emma Roberts vehicle, but the romantic comedy creaks under the weight of its coincidences.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'About Fate (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Vaysberg, Marius', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Mann, Thomas (1991- )', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Roberts, Emma (1991- )', 'rank': 5, 'major': 'N'}]",2022-09-09T01:00:03+0000,289,‘About Fate’ Review: Love the One You’re With?,None,None,About Fate,None,None,None,By Lisa Kennedy,None
Waiting for Bojangles,En attendant Bojangles,0,fr,,"A boy and his eccentric parents leave their home in Paris for a country house in Spain. As the mother descends deeper into her own mind, it's up to the boy and his father to keep her safe and happy.",12.867,124,0,2021-10-13,7.396,308,"Drama, Comedy, Romance","English, French, Spanish","Belgium, France",https://www.nytimes.com/2022/09/01/movies/waiting-for-bojangles-review-endless-love.html,"Set in Paris in the 1960s, the film tells the story of two irrepressible lovers, and their young son, whose tale turns tragic.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bourdeaut, Olivier', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Waiting for Bojangles (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Roinsard, Regis', 'rank': 4, 'major': 'N'}]",2022-09-01T11:00:06+0000,267,‘Waiting for Bojangles’ Review: Endless Love,None,None,Waiting for Bojangles,None,None,None,By Calum Marsh,None
I Love My Dad,I Love My Dad,0,en,http://www.magpictures.com/ilovemydad/,A hopelessly estranged father catfishes his son in an attempt to reconnect.,10.067,90,0,2022-08-05,5.8,44,Comedy,English,United States of America,https://www.nytimes.com/2022/08/04/movies/i-love-my-dad-review.html,This comedy is a daddy-issues movie with a queasy premise truly made for these times.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Oswalt, Patton', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'I Love My Dad (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Morosini, James', 'rank': 4, 'major': 'N'}]",2022-08-04T11:00:05+0000,418,‘I Love My Dad’ Review: A Father Catfishes His Son,None,None,A Father Catfishes His Son. We Just Wait for the Ick.,None,None,None,By Glenn Kenny,None
A Love Song,A Love Song,0,en,,"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains.",7.274,81,278562,2022-07-29,6.854,41,"Drama, Romance","English, Spanish",United States of America,https://www.nytimes.com/2022/07/28/movies/a-love-song-review.html,Two former childhood friends rekindle their connection in this sweetly hopeful story of romantic longing.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'A Love Song (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Walker-Silverman, Max', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Dickey, Dale (Actor)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'STUDI, WES', 'rank': 5, 'major': 'N'}]",2022-07-28T11:00:06+0000,395,‘A Love Song’ Review: When Moving Forward Means Looking Back,Critic’s Pick,None,The Romantic Ache That Never Truly Dies,None,None,None,By Jeannette Catsoulis,None
Alone Together,Alone Together,0,en,,"Strangers June and Charlie wind up double-booked in the same upstate New York Airbnb during the start of COVID-19. Exasperating the situation, the lockdown forces them both to stay and confront the unexpected feelings that develop between them.",9.386,101,0,2022-07-22,5.148,44,"Romance, Drama",English,United States of America,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Holmes, Katie', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Alone Together (Movie)', 'rank': 3, 'major': 'N'}]",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,None,None,Alone Together,None,None,None,By Teo Bugbee,None
Art of Love,Romantik Hırsız,0,tr,https://www.netflix.com/title/81689799,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed.",65.026,99,0,2024-03-13,6.425,120,"Romance, Action, Drama",Turkish,Turkey,https://www.nytimes.com/2022/07/21/movies/art-of-love-review.html,"A disillusioned college professor develops a relationship with a young Chinese woman, in a familiar and worn-out narrative.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Art of Love (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Kaplan, Betty (Film Director)', 'rank': 3, 'major': 'N'}]",2022-07-21T13:21:43+0000,354,‘Art of Love’ Review: An Erotic Male Fantasy in Puerto Rico,None,None,Art of Love,None,None,None,By Concepción de León,None
